Timestamp,I consent that I have been sufficiently informed about this study and that my annotations and survey responses will be anonymously used solely for this research:,1. Identifier/Alias:,2. Age:,3. Gender,4. Which of the following statements best describe your musical background?,5. Please specify what musical instrument you primarily play (leave blank if you do not play any musical instruments):,"6. If you do play a musical instrument, how proficient do you consider yourself with it?",7. Learnability,8. Performance,9. Productivity,10. Accessibility,11. User friendliness,12. Information scent,13. Flow,14. Customisation,15. User engagement,16. Which three aspects of the tool do you think could be improved the most?,17. Which three aspects of the tool do you like the most?,"18. Did you use the ""Find Exact Occurrences"" feature in the tool? If so, did you find it helpful?",19. Were there any features that you felt were missing from the tool?,20. How much would you prefer using this tool to annotating using the traditional method (circling or highlighting notes in physical sheet music)?,21. Why?,22. Do you have any other comments about this tool or the study?
2019/06/21 7:57:31 am EET,Yes,01,41 - 60,Male,I enjoy listening to music; I play percussion in a band,Percussion,4,4,3,4,4,3,4,4,4,4,I had to exit it each time to load in the next midi file. The screen does not move with the music being played. ,"I like the colour coded selections, it's easy to find each group of patterns. Selecting pattern segments is easy. ","Yes - this is helpful, and as described, one does need to check out the results to make sure all occurrences are included",Maybe a 'pattern match percentage' that shows how each pattern fits the first one selected...,5,"It's much easier to do it, and the resulting patterns are easy to identify, re-play and of course to amend if need be",
2019/07/10 11:02:45 am EET,Yes,02,17 - 21,Male,I enjoy listening to music; I can read sheet music; I have experience using piano roll interfaces; I have experience annotating musical patterns with digital software,Guitar,4,3,4,4,2,3,4,3,3,3,Very easy to click by mistake and make an unwanted selection. Highlighting long notes or particular notes can be a bit tacky.,"Colour coding, recognizing exact patterns, general simplistic design.","Yes, and yes.",No.,2,"Due to ability to add sidenotes easily, easier to make a selection.",
2019/06/25 6:07:04 pm EET,Yes,03,41 - 60,Male,I enjoy listening to music; I have experience using piano roll interfaces; Some limited experience with editing of midi files to create modified songs,,,5,5,4,3,4,4,3,3,4,"1) I had difficulties in re-selecting a pattern and adding more once a new set of patterns was started.  I had to delete the whole pattern set and select again to add to that pattern set or modify it.  2) There seems to be a slight visual delay when compared to the sound of the note being played - I could not help feeling that it was one note off, but maybe that's just my lack of musical experience.",1) Easy to select patterns 2) Easy to control playback and selection area 3) Patern display is colourful and easy to spot - and the highlighting feature for each pattern is very good.,Yes... it picked out several patterns.,The abiity to modify or add to an already selected pattern once a new set of patterns was started.,4,"Visually it's easier, especially for a non-musician",It's an interesting tool.  I'm sure it can be developed into a very useful tool for musicians who need to do this repeatedly and easily.
2019/08/01 2:47:42 pm EET,Yes,04,41 - 60,Male,I enjoy listening to music,Percussion,3,2,3,4,3,2,4,4,3,4,Less complicated configuration,Once used it is quite intuitive,Yes,No,4,I love technology,No
2019/08/03 3:43:23 pm EET,Yes,05,22 - 28,Male,I enjoy listening to music; I can read sheet music; experience reading guitar tabulatures / lead sheets with chords and strumming patterns,Guitar,2,4,4,3,3,2,2,4,2,1,"1. It is annoying that confirmed marked patterns cannot be edited further but have to be redone from scratch if you made a mistake. Depending on the complexity of the sheet it can be quite bothering to reselect everything. Most importantly though, repititions of patterns with slight variations can be found easier if you only select the notes that are elementar for the patterns and then use ""find exact matches"". It would be very convenient if you could add to edit these matches (eliminating the flash icon on confirmation) to get all variations easily instead of manually having to select every variation to the pattern. 2. The UI... The confirmation is a bit of a bother before you find out that you can also press Enter to confirm as you need to aim rather well (I've managed to confirm a pattern i wanted to delete and vice versa at least once although I have a background in fast paced circle clicking activities). There should be additional tells for keyboard controls e.g. via tooltips but at least through a help menu that shows the available keyboard controls. Furthermore the currently active pattern could also have its pattern display vertically enlarged to allow for easier clicking. In conjunction with 1, the currently active subpattern could be lit up in the left pattern menu to show which subpattern is active and the respective subpattern in the piano view could also be permanently lit the same way it is now when hovering the subpattern. Subpatterns with lower confidence levels have no visual tells or other options right now. The option for assigning a lower confidence level is also fairly hard to reach so I would personally see no value in using it at this point. 3. Usability and responsiveness Using right-click -> Find Exact Occurences does not change the active pattern to the pattern you used that command for. Patterns that already contain more than 1 subpattern should require some way of confirmation before they can be deleted - otherwise it can happen easily that you wanted to either hide it or delete the last subpattern of the pattern above and whooosh, your work is gone. Naturally, adding autoscroll to the playback would be a great improvement. 4. Robustness and persistence Loading annotations seems to be very fragile right now. For some correct midi+jams pairs I get the message ""Annotation data does not match MIDI file!"" although it does and it actually loads it properly after. For other correct pairs the application crashes (which makes me think ""have fun evaluating everyone's submissions when you can't load half of them o_o"") and for incorrect pairs the application crashes too. Loading and saving midi files and jams files separately does not make a lot of sense. With the current example, the filesize of the annotation files is several times bigger than the size of the respective .midi. As such I think it would be legitimate to either a) add a section for the used midi file to the specification of .jams so you can always be 100% sure to work with the correct midi file b) save a hash of the midi file to the ""file_metadata"" so you can keep them seperately but still perform proper validation and add a relational database for easy search access to quickly determine whether the .jams file will work for the selected midi. With that approach you could immediately offer a list of possible .jams files upon loading a midi so you get past the annoying double file-select before being able to do anything. I can imagine that you didn't do this because you wanted to have the option to add more stuff to a midi and keep the annotations working for it but I think in the current state of the app you would have to do too much validation for that to be feasible and approach a) would still allow you to follow such an approach in a more reasonable way as you can actually check exactly what was altered / deleted. I think the logs you added are mainly for evaluating usage of the tool by the participants so I'm not gonna dig into it too much but Undo/Redo functionality would be nice and also cancel out the problem with deleting patterns in a single misclick.",1. Selecting patterns with both dragging boxes and clicking without having to like hold shift or ctrl to add was quite nice and intuitive. 2. The navigation to a subpattern when you click on it is good 3. Playback functionality worked nicely with dragging on the measure bar and using spacebar for start/pause,Semi helpful. It was decent for melodies but bad for rhythms and variations. I often marked things manually if it was immediately visible that it was essentially the same.,See the big text at #17,2,because usually when i want to find patterns i want to pay attention to it in my practice and performance and i would need the tells in my sheets regardless while the tool is kinda neat it lacks some flexibility in form that you have on paper and it lives and dies with having a midi-file available,
2019/08/05 5:47:59 pm EET,Yes,06,22 - 28,Male,"I enjoy listening to music., I am a hobbyist/professional music composer., I can read sheet music., I have experience using piano roll interfaces., I possess academic qualifications in music., I have academic experience in the field of musicology., I have experience annotating musical patterns with traditional ""pen and paper"" approaches.",Flute,4,4,4,4,3,3,4,4,2,3,"Availability of hotkeys for faster work, better performance (lag), more accessibility options","Easy annotation, ability to listen along, automatic pattern selection","Yes, and yes.",Ability to see sheet music alongside piano roll.,5,"Its much faster, more flexible, and has more quality of life features that makes things easier.",
2019/06/06 7:24:23 am EET,Yes,07,29 - 40,Prefer not to say,I sometimes listen to music,,,4,3,4,3,4,3,2,3,5,1) I would add the ability to name the notation sections. 2) I would add the ability to add notes(comments) to selections. 3) I would look at the possibility of adding a toggle to view as sheet music.,1) Making each section different colors which correspond to the music patterns that are selected. 2) Being able to automatically select patterns that are the same. 3) This tool uses a metaphor that might be more familiar to the users who would be more open to digitally annotating rather than using pen and paper. Users who are familiar with digital music creation would probably find this layout easier to work with as it more closely resembles the tools they use already.,Yes. I would not always have been able to find patterns without it.,Copy patterns into separate files,5,,
2019/07/17 10:19:07 pm EET,Yes,08,61 or above,Male,I enjoy listening to music; I am a hobbyist/professional music composer; I can read sheet music; I have academic experience in the field of musicology; I have experience annotating musical patterns with digital software,Guitar,5,3,3,3,3,3,3,3,3,3,"Use of scroll bar is not easy, screen should move as the music plays.  It would be useful to listen [play] the patterns selected.  It is only really necessary to have horizontal pattern selection to view the music as it plays - it should remain centre screen.",colour coding of patterns is good. it is visually informative and pleasing. good function for finding exact matches.,yes,auto scrolling as the music plays,3,"i think you also need to consider this tool in comparison with sequencing programs such as protools, Sibelius, Logic, Cubase etc. ",
2019/07/15 12:02:10 pm EET,Yes,09,17 - 21,Female,"I can read sheet music; I possess academic qualifications in music; I have experience annotating musical patterns with traditional ""pen and paper"" approaches",Piano,4,3,4,4,3,4,3,4,4,4,,,"yes, yes ",no ,3,i prefer reading sheet music ,
2019/07/18 8:18:35 pm EET,Yes,10,41 - 60,Female,"I enjoy listening to music; I can read sheet music; I have experience annotating musical patterns with traditional ""pen and paper"" approaches",Piano,3,5,5,5,3,4,4,5,3,5,"more visual contrast, screen to follow automatically the music, shortcuts","fun, good overall usability, very intuitive","yes, definitely","easier navigation, when selecting the pattern to have a deselect option when making a mistake by selecting the notes",5,much faster to use then the physical music sheet ,-
2019/06/26 10:01:32 am EET,Yes,11,17 - 21,Female,I enjoy listening to music; I possess academic qualifications in music,,,5,5,4,5,4,5,5,4,4,"1) More guidance within the programme itself - for example, a help menu or pop-up balloons, tutorials, etc. 2) If you select a particular pattern, but then realise you need to change it, you'd need to delete the pattern and start again. Perhaps a feature to add notes unto already existing patterns would be useful. 3) Introducing an option where screen moves along with notes being played at the moment. ","1) Ability to start and pause music from wherever you want (and not having to start song from the beginning every time) 2) Ability to find exact occurrences - saves time especially when they are very obvious. 3) Customisation - ability to show/hide gridlines, key names, etc. ",Yes - very helpful especially where certain occurrences where either very obvious (saved time in having to go through each one) or sometimes less obvious.,Ability to edit already selected patterns,4,This could potentially save a lot of time and be easier to use and identify certain patterns. The programme is also easy to use and user friendly. ,
2019/08/04 3:21:30 am EET,Yes,12,22 - 28,Male,I enjoy listening to music; I can read sheet music,Ocarina,2,4,5,3,4,4,3,5,2,4,Size of interface icons,"Interface design, navigation, ease of use",No,No,4,This is more precise,
2019/06/22 10:07:54 am EET,Yes,13,17 - 21,Male,I enjoy listening to music,,,4,3,2,3,4,3,4,4,2,"Scrolling left to right very awkward (small bar), delete buttons for annotations are small and don't match the symbol (have to click directly in the middle), volume randomly lowers at segments of the songs","Colour coding, easy pattern comparisons, doesn't require anymore than a mouse (no keys to press)","Yes, however there weren't many scenarios where the patterns were exactly the same.","Personalizable colours, pause and play button in one button (and a start from beginning button), shortcut buttons for certain features like ""Find exact occurrences""",3,Never used physical sheet music,
2019/08/12 7:09:03 pm EET,Yes,14,29 - 40,Male,I enjoy listening to music; I can read sheet music; I have experience using piano roll interfaces,Cello,3,3,4,3,3,4,3,2,3,3,"confidence as a mandatory selection, not automatically lvl 3 confidence",find the same pattern,"ofc, very helpful",cant think of any,3,its quick and easy,cant think of anything at the moment.
